ident,             JDTDB,                      X,                      Y,                      Z,              VX (km/s),              VY (km/s),              VZ (km/s),             mass (kg),          radius (km),  color1,   color2,    color3,
       Sun, 2515595.167093523, -26008083.726370476, 18915702.705627307, 508845.9075739584, -0.009051151880595004, -0.0029299523160509454, 0.00023054451051115715, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2515595.167093523, 18282543.882676106, -24043074.813726664, -7056512.093384028, 24.275541371633732, 37.24036353268288, 0.8300216073120676, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2515595.167093523, -122953127.9328998, -28463186.253613256, 5426224.004350482, 15.127063555878268, -31.62582025280421, -1.3173028931599142, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2515595.167093523, -113881170.9319695, -104155648.78806102, 554366.3986203851, 23.744955115987075, -17.417432853429048, 0.005658278660575811, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2515595.167093523, -114278003.30842641, -104237987.08879608, 530728.0760642027, 23.942916058176674, -18.362705886531707, -0.05737618412129536, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 10
      Mars, 2515595.167093523, -36495186.48910082, 254209405.61669758, 5703121.756612277, -23.313929386933022, 0.9845663965718251, 0.5883929808412853, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2515595.167093523, 415068499.67370164, -605468466.5018793, -6658762.000097218, 10.501840734087317, 8.140139419895043, -0.2688331676056153, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2515595.167093523, 1280845816.9368749, 525678116.50125426, -60376352.934488215, -3.9969761884960957, 8.97670021571676, 0.0045583054081922685, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2515595.167093523, 2896489193.81552, -680664542.6223326, -39787684.337651774, 1.5368191709902959, 6.303801231941234, 0.0033224682126151536, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2515595.167093523, 3749039112.710033, -2409946034.8752704, -36473975.09325053, 2.903767635439342, 4.60293781884503, -0.1618310728187927, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2515595.167093523, -1523325460.31531, 6263002723.14979, -236824051.1391648, -3.699836572498297, -1.923040706843271, 1.2915492195290958, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2515595.167093523, 4037193.652261292, -172435905.60598245, -20033938.36304754, 22.98130421448037, 6.445817031141056, 0.6838744548251743, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness: 

       Sun, 2515700.6879276424, -26087329.132443454, 18884444.95901566, 510865.56926919956, -0.008177576565141257, -0.003876903908536075, 0.00020609960876354864, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2515700.6879276424, 13115072.369018175, 46784704.281942524, -787721.0737489696, -37.787185480630185, 41.797880895300594, 6.875681799179274, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2515700.6879276424, 79202104.29794687, 44589940.80694109, -5192380.091017176, -8.42847432356556, 33.8681138700383, 0.962566096965726, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2515700.6879276424, 111402279.3421162, -43774474.13246538, 525005.3489989721, 11.869821799022306, 27.000448664332815, -0.008277525298969579, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2515700.6879276424, 111076312.91490509, -43552655.07789836, 524303.8625094483, 11.276046808812184, 26.19855330248442, -0.10007977041168846, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 10
      Mars, 2515700.6879276424, -219026570.15086675, 174959817.96602634, 8484642.385357583, -14.352454933314894, -16.76751388051951, -0.002422522356473062, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2515700.6879276424, 504944709.6579427, -523816755.1158123, -9010642.870376842, 9.168948829153926, 9.739803385697588, -0.24595145823628564, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2515700.6879276424, 1241811475.7663567, 606447861.390307, -60212823.86514573, -4.563942437303903, 8.735518887650702, 0.03134113374493118, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2515700.6879276424, 2909904896.7416778, -623054356.39293, -39749205.536712006, 1.4061089663659496, 6.333735612497647, 0.005118101918462247, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2515700.6879276424, 3775281755.6975174, -2367833560.5328803, -37947102.96826466, 2.853036402288716, 4.635196668514492, -0.16132632891092147, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2515700.6879276424, -1557025421.070326, 6245340363.279777, -225044133.52190575, -3.692907418951141, -1.9515632050468252, 1.292607801383303, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2515700.6879276424, 124282525.16874747, 17007624.60007943, 255635.33442306612, -5.040896350596321, 30.60322289350268, 3.2862265318348323, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness:      Bennu and      Earth; 62132411.540477775

       Sun, 2515973.500429675, -26251139.85184823, 18781879.871050928, 515115.8427605839, -0.005687974425559957, -0.004818331499379457, 0.00014371734928334494, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2515973.500429675, -26759589.061552983, 64837386.725202665, 4332500.474916406, -58.48724816816126, 1.2456558447776902, 5.447484841961006, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2515973.500429675, -28029669.92276283, 126421329.33678858, 2134387.5658390247, -35.13662632389609, -0.7592567202014643, 2.013308523909787, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2515973.500429675, -85305633.36940983, -120849529.73284504, 564861.3309138112, 26.952324563328652, -11.714793906721015, 0.0038289957321405075, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2515973.500429675, -85607932.77241786, -120617571.8207955, 556386.3929379233, 26.27385424707491, -12.482286408502759, -0.08569895132101307, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 10
      Mars, 2515973.500429675, -20623339.14263053, -198481921.4345129, -4182502.8813304096, 25.114807544059286, 2.712665633852234, -0.55443287676801, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2515973.500429675, 670125028.8219572, -255009475.24533194, -13839971.728942873, 4.6117540761472, 12.761886662710214, -0.15727440573683832, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2515973.500429675, 1117543330.302321, 803450533.5671066, -58654502.231084764, -5.961447750383154, 7.939174676163813, 0.10084143127562983, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2515973.500429675, 2939043356.4498205, -472957016.75590205, -39573957.31392717, 1.0657653576637975, 6.399136350926758, 0.009747961748967849, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2515973.500429675, 3840969891.316816, -2257617562.282777, -41733522.06093388, 2.7202154770910925, 4.716002968049783, -0.1599294492969141, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2515973.500429675, -1643852067.4387493, 6198468984.953519, -194545872.20399725, -3.674127489605208, -2.02552327637734, 1.2951147221835773, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2515973.500429675, -103525832.88846427, -165919561.80004278, -19276132.92921639, 21.124119054342227, -8.934577638556975, -0.9654651896560968, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness:      Bennu and      Earth; 52506650.24677898

       Sun, 2516173.870801538, -26332160.810338214, 18694379.54167502, 517258.0481543655, -0.0034322549633559506, -0.005111708791548723, 9.189625246234311e-05, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2516173.870801538, -83194043.75531964, -9822674.665643083, 3379177.569818195, 11.782880408357277, -41.450496544620165, -4.470601098535927, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2516173.870801538, 40475577.01434211, 103605675.47729398, -2134756.8354862197, -27.62679741595914, 21.508587445077094, 1.8945718616513778, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2516173.870801538, -7832162.492097329, 164775687.39267915, 467618.18606303044, -30.053128260610276, 3.631660215930098, -0.0004250955415303378, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2516173.870801538, -7934292.412167291, 164382522.65132293, 443159.7969552301, -29.117832777903537, 3.3805256733377536, 0.06469062686670336, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 10
      Mars, 2516173.870801538, 150664615.52126485, 141258430.00025257, -1218887.1254863357, -12.888365076645224, 21.995004808988554, 0.7756319676305307, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2516173.870801538, 715663269.3734556, -24602903.24154631, -15838636.12596766, 0.5938017676685083, 13.646025444199095, -0.07149518360038266, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2516173.870801538, 1006058956.2644045, 934688438.7557715, -56471287.46646234, -6.904239536323225, 7.201519889321273, 0.15118966314627358, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2516173.870801538, 2955315992.468269, -361841627.45966583, -39375883.08394983, 0.8139471317852638, 6.436099646343968, 0.013131952614292262, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2516173.870801538, 3887206786.261309, -2175478305.654501, -44492714.766354, 2.6211868930823137, 4.772935315641854, -0.1588195139078246, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2516173.870801538, -1707333177.3228462, 6162931443.145276, -172110503.29768792, -3.6595281456724322, -2.0800391604238433, 1.2967409000154937, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2516173.870801538, 69803965.36371091, 114151442.56775528, 10726145.380392311, -25.699635571319718, 22.25538552264104, 2.397278307626883, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness: 

       Sun, 2516249.0444132094, -26351942.57166831, 18662251.044385277, 517789.2565124866, -0.0027316386975485777, -0.004785267210018954, 7.543963355835398e-05, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2516249.0444132094, -74880545.83299169, 39858382.553936094, 6688532.206545842, -29.553919475465094, -42.58593833445374, -0.7856159573739494, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2516249.0444132094, -133145939.2222555, 30906979.47058841, 6842165.697739887, -4.184974345868899, -34.94716155908702, -0.2515242472710048, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2516249.0444132094, -164777682.42124164, 71490079.48330775, 507425.8248671454, -11.10839547948218, -27.936172009178392, 0.010799253229169518, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2516249.0444132094, -165146082.55461457, 71556006.62574443, 480240.29552492494, -11.341341825097897, -28.96047537778627, -0.048525812574608966, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 10
      Mars, 2516249.0444132094, 29161676.418437436, 241264248.63298133, 3839335.7348839655, -22.611143557235078, 7.928318452030873, 0.7170324265813891, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2516249.0444132094, 714453439.4256084, 64122289.39984138, -16190479.332084483, -0.9667897670683541, 13.643944256647822, -0.03670507894116946, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2516249.0444132094, 960133088.302399, 980469867.460166, -55428973.263216004, -7.235409190859223, 6.893180107816198, 0.16972630478992418, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2516249.0444132094, 2960294744.594716, -320001290.15720963, -39286480.94535765, 0.7191436907212667, 6.447537857514165, 0.014396919848094412, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2516249.0444132094, 3904109798.692827, -2144410293.0182865, -45522841.0892259, 2.5837215541394682, 4.793760136702033, -0.1583848476806218, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2516249.0444132094, -1731083495.6587355, 6149355035.229019, -163686330.56678054, -3.653872359516894, -2.1005335137654515, 1.2973032046733026, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2516249.0444132094, -132520948.26221874, 122309514.30078486, 11673792.264508743, -25.53248865962738, -18.343122641766282, -1.9588761047258816, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness:      Bennu and      Earth; 61219273.16635408

       Sun, 2516665.155527421, -26376557.79144934, 18513243.363625146, 518409.28417656926, 0.001263966137169943, -0.0028212262430996385, -4.292516700923672e-05, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2516665.155527421, 20972997.355974853, 34708986.47487347, -2482855.8606832908, -25.18774641726927, 48.2513823673298, 6.2531023279899065, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2516665.155527421, -79204275.00326896, 112048284.40711269, 4880079.62762939, -30.610482392735413, -17.40914449659551, 1.517970042469419, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2516665.155527421, -157113765.32550803, -55543433.93605516, 550361.3388727146, 14.186391035222043, -26.03285247844534, 0.007057972573722482, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2516665.155527421, -157231629.59773016, -55913849.23021086, 539243.2523993985, 15.1264828792871, -26.39800189842987, 0.09000704188052652, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 10
      Mars, 2516665.155527421, -10481211.951963209, -197411095.383297, -4401304.379944709, 25.064112690370745, 3.865044567452735, -0.52900050739501, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2516665.155527421, 531960818.18509465, 511886760.6215136, -14035342.392412556, -8.813844421023719, 10.397314378102577, 0.1520114194752149, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2516665.155527421, 670470571.5787164, 1193930410.4248312, -47554961.80354553, -8.795916191779442, 4.90719808838334, 0.2663042399240336, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2516665.155527421, 2976684375.404699, -87371893.87577663, -38643734.21538339, 0.19208304663846346, 6.486755312004675, 0.021340895443308566, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2516665.155527421, 3993233306.3624415, -1970061776.7242625, -51171532.06311259, 2.373380132844298, 4.903676428047166, -0.15580005982216025, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2516665.155527421, -1861861678.0275204, 6071792226.972595, -116995929.88858433, -3.620774019362304, -2.214370832689358, 1.2999337462658207, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2516665.155527421, -91178561.7677331, 143835761.93576756, 13984784.95139843, -30.950700195466357, -11.020581676884696, -1.1720699610147878, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness:      Bennu and      Earth; 210428131.37995577

       Sun, 2516752.5745095536, -26365421.237427246, 18494376.612892516, 518053.4890441904, 0.001721512787137998, -0.0022591304233788535, -5.486580707032586e-05, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2516752.5745095536, 22089190.62143492, 32457142.54899435, -2767016.60649277, -22.897384176420463, 48.97198917746268, 6.102773421498936, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2516752.5745095536, -44668757.56187977, -88600668.84608342, 62723.88169321204, 34.29192619543058, -6.0399274336078195, -2.06044558465703, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2516752.5745095536, 34279453.40380791, -120931425.6222236, 561923.3205168216, 26.828233889057785, 11.755585199602514, -0.006125202437941411, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2516752.5745095536, 34582739.46524883, -121199617.9967514, 590002.3030453514, 27.475021000602165, 12.477619407472101, 0.05209744979880075, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 10
      Mars, 2516752.5745095536, 148318066.35132465, -92097169.93359347, -6056171.663274298, 13.869010820410233, 22.550239128648904, 0.13577561447938305, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2516752.5745095536, 460507681.2354716, 585688775.4510866, -12758259.875821013, -10.075711322387507, 9.117679579629183, 0.1855819652602194, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2516752.5745095536, 603033758.8322831, 1229229422.8858814, -45473091.41531373, -9.056786114563156, 4.4372139967539885, 0.2848411255372872, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2516752.5745095536, 2977715772.822497, -38364838.032081485, -38477088.43082161, 0.08102983541322042, 6.489787449103985, 0.022785004488631175, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2516752.5745095536, 4010990351.86289, -1932941240.4780922, -52346102.79527865, 2.3285760669659803, 4.9256014833780855, -0.15521879704159772, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2516752.5745095536, -1889181729.6737173, 6054976462.18489, -107175818.7083101, -3.613429309599032, -2.238368540200883, 1.3003807055176027, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2516752.5745095536, -202419215.56776825, -27850910.8040916, -4397213.211078241, 1.9538221489082246, -25.57688080855346, -2.7444888961984133, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness: 

       Sun, 2517065.6069192933, -26290669.685884293, 18473451.836893734, 515634.39160362486, 0.003367326813961495, 0.0007949300974712189, -0.00011876205122162278, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2517065.6069192933, -57578252.21886223, -43254298.135392755, -1679339.5050999036, 33.64511562826531, -19.692184175985446, -4.687089776443065, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2517065.6069192933, 55846802.77553057, 88825209.77032124, -3223730.964786457, -22.875008712886377, 26.459908667823786, 1.6908686042903553, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2517065.6069192933, -93571692.29884724, -117277896.01088822, 565917.2442270544, 26.219322920624155, -13.337435857773107, 0.0038848792037818867, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2517065.6069192933, -93743711.65138073, -116941324.04595505, 540641.8130206288, 25.316410749629643, -13.843510480599976, -0.059583258136845, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 10
      Mars, 2517065.6069192933, -207692037.5950797, 187047540.70183745, 8470095.978270615, -15.596202132465816, -15.673515858337428, 0.050574097713163395, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2517065.6069192933, 143528122.28207204, 759386983.8457936, -6437587.761866047, -12.895806203042886, 3.52997534129731, 0.2722179358855799, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2517065.6069192933, 347615380.6944652, 1325296159.1206665, -36937392.726597615, -9.771990576580091, 2.6403052984291424, 0.3444627015894762, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2517065.6069192933, 2974526234.032918, 137156028.39873523, -37791412.42730057, -0.3168907709721007, 6.485765622642144, 0.02790530709508829, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2517065.6069192933, 4071782695.6920805, -1798695379.0441105, -56514923.5424432, 2.166482957367934, 5.000737740567062, -0.15302961765123166, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2517065.6069192933, -1986543532.0492659, 5993273215.476315, -71987157.02972506, -3.5859931804925704, -2.324522323891793, 1.3016724475799943, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2517065.6069192933, 2362246.0080281547, 148737858.54526806, 14481833.270692904, -33.463038231572185, 8.148035132655309, 0.8845957326758307, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness:      Bennu and      Earth; 283127806.1281575

       Sun, 2517331.278217569, -26208495.29620268, 18523469.872208223, 512661.4189485078, 0.0036880335246889905, 0.00369754304074712, -0.0001420575031631345, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2517331.278217569, -52060030.694597125, -45990616.95358567, -2407322.2655121274, 35.43128513287724, -15.747465809643563, -4.527527759101189, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2517331.278217569, -56917290.72849916, 121560454.51556087, 3734556.8064761027, -33.673403512644825, -10.183334217908438, 1.7961173925916234, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2517331.278217569, -148045302.54678255, 102079138.19373067, 490022.8976815332, -17.329052354330027, -24.684509529602174, 0.010054798912209366, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2517331.278217569, -147672006.4644021, 102233845.09338364, 510173.4134161265, -17.68358667740418, -23.78570478301387, -0.059443575756042054, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 10
      Mars, 2517331.278217569, -55363559.887758315, -199829261.51176617, -3361277.6039784597, 24.919847665921825, -1.1138590162665831, -0.6300985200834859, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2517331.278217569, -157992883.96644136, 781146082.1519984, 186239.13751547213, -13.034354328550773, -1.6122623533116271, 0.2972222518457123, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2517331.278217569, 119135695.66620065, 1367406228.3652484, -28544381.5950722, -10.089621548143452, 1.0187748771119451, 0.3851565469273732, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2517331.278217569, 2963378820.4991875, 285813500.7590915, -37101678.87459684, -0.654254748847253, 6.464080289241303, 0.032179727649000726, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2517331.278217569, 4119914245.3596234, -1683217175.4195366, -60004965.928120695, 2.0269759805448193, 5.0603208170536185, -0.15104068281964192, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2517331.278217569, -2068575433.9204335, 5939074369.701792, -42099734.32777937, -3.5612929704533824, -2.397900657189197, 1.30238206654616, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2517331.278217569, 12600695.877780259, -170110661.16002142, -19736616.26597834, 22.75424231199852, 7.768642781361848, 0.8258208151739707, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness: 

       Sun, 2517457.840718512, -26171400.758069057, 18570896.003980517, 511146.90441423276, 0.003158026224655156, 0.004795625808957115, -0.00013957237066948566, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2517457.840718512, 18478882.264411524, 39388125.97289951, -1864721.5764402323, -30.040529986794738, 46.30555966021467, 6.536607057262008, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2517457.840718512, 43326802.3597961, -65126711.55817644, -4672780.686378787, 26.725128567676403, 22.25359839619916, -1.2256148291274784, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
