ident,             JDTDB,                      X,                      Y,                      Z,              VX (km/s),              VY (km/s),              VZ (km/s),             mass (kg),          radius (km),  color1,   color2,    color3,
       Sun, 2451866.5, -745861.5060052568, -708614.1541709184, 24346.88872636642, 0.01359374835740099, -0.007786179287109707, -0.0002943289475127709, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2451866.5, -45172935.78327334, 25764975.50068034, 6264649.60588303, -34.9066470220598, -39.8093391614042, -0.04660091449030546, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2451866.5, 99091059.02164924, -43661291.30154074, -6325348.095597714, 13.65820724498068, 32.01160699107672, -0.3502305803944594, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2451866.5, 82057627.51046057, 121801145.4395286, 23784.80782674998, -25.14405665688727, 16.57074397883348, -0.00132351736262315, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2451866.5, 81784691.93957016, 122050755.2334991, 40807.41083999723, -25.87331023437149, 15.80927929813006, 0.0812889882647303, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 0
      Mars, 2451866.5, -238324703.999901, 73666905.8337169, 7421703.803013884, -6.313886052660593, -21.06319795212671, -0.285832026712983, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2451866.5, 314499417.7694016, 683017269.7590714, -9871804.295091152, -12.02982864776125, 6.087266916217894, 0.2440248660455286, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2451866.5, 733435975.8518109, 1148368555.743734, -49166334.33454669, -8.64796178843715, 5.180052186729605, 0.2533371030007183, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2451866.5, 2282718652.39974, -1922967035.271948, -36720879.04811978, 4.337579816019148, 4.891419430500989, -0.03809138765018538, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2451866.5, 2636857079.506151, -3651947383.257841, 14435993.18342543, 4.371921158058286, 3.212882559333475, -0.1675040968494748, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2451866.5, -1331679949.686997, -4254987307.93032, 840507409.6760093, 5.293995497352054, -2.526447433015523, -1.27058665930116, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2451866.5, 151601520.0677994, -41919448.19543569, -4931513.686473252, 2.113842210264089, 29.67250679356081, 3.121818672458366, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness: 

       Sun, 2451988.166667573, -599593.5765174198, -782593.766832737, 21105.741648607203, 0.014027361273288809, -0.006271317452099271, -0.00031402185813382907, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2451988.166667573, -8967400.667517003, -69786658.55984083, -4847856.798453589, 38.62406795173526, -3.409404557043872, -3.8220573155334865, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2451988.166667573, -107158329.7462468, 13134124.511505065, 6361831.988451783, -4.72190313742413, -34.887745189295806, -0.2037662581176348, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2451988.166667573, -149529862.8968697, 1490965.6496806846, 21342.2289147171, -0.9389839875168309, -29.912265116093742, 0.0007816391489425709, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2451988.166667573, -149327055.56684792, 1140591.286622441, 10492.271779425753, -0.0998050335687602, -29.438268491798524, -0.0807174888577028, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 0
      Mars, 2451988.166667573, -186963829.771385, -146082135.40797985, 1558123.2795563133, 15.826713595547329, -17.045636685245007, -0.745886875100532, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2451988.166667573, 183399285.76742253, 735018405.615594, -7153135.057825483, -12.839327600116611, 3.7869469987109263, 0.2716556994837418, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
    Saturn, 2451988.166667573, 640487764.0231216, 1199439634.3944852, -46363066.577358484, -9.028072500514556, 4.531345205160055, 0.27977578944687986, 5.68319e+26, 58232.0, 227.0, 224.0, 192.0, 6
    Uranus, 2451988.166667573, 2327681673.1982737, -1871023212.2949018, -37111128.771091126, 4.216680387196823, 4.990856428185137, -0.03615435276579579, 8.68103e+25, 25362.0, 225.0, 238.0, 238.0, 7
   Neptune, 2451988.166667573, 2682601688.0841117, -3617881138.8310065, 12674076.023298055, 4.331275973245758, 3.2684298697771608, -0.16771156816647256, 1.0241e+26, 24624.0, 115.0, 172.0, 172.0, 8
     Pluto, 2451988.166667573, -1275926400.2931247, -4281210652.934591, 827085369.9660888, 5.31345173885144, -2.4627576113872482, -1.2830308580170615, 1.307e+22, 1195.0, 246.0, 221.0, 189.0, 0
     Bennu, 2451988.166667573, -85786984.911694, 116987770.39509909, 12782593.027540619, -28.671336521924477, -14.445574530830886, -1.408623755784008, 78000000000.0, 0.2, 128.0, 128.0, 128.0, 0
Collisions: 
Closeness:      Bennu and      Earth; 132534960.20772031

       Sun, 2452403.212966962, -88849.27192313057, -937287.9566315006, 9050.569670754534, 0.014102567552172679, -0.0021119923068473423, -0.00035118990129371307, 1.988544e+30, 696300.0, 253.0, 184.0, 19.0, 9
   Mercury, 2452403.212966962, -59067323.80371196, -9803995.20407802, 4697792.285326035, -2.8677424247282426, -46.0913927586895, -3.5009502728808894, 3.302e+23, 2440.0, 219.0, 206.0, 202.0, 1
     Venus, 2452403.212966962, -48502335.41060734, 94931533.67079291, 4114230.345252529, -31.37551400401692, -15.979521515050433, 1.5930061607801616, 4.8685e+24, 6051.8, 139.0, 125.0, 130.0, 2
     Earth, 2452403.212966962, -101211211.28729121, -113069565.79053392, 10146.203617869958, 21.651435491588536, -20.080170446803592, -0.0005911786147171834, 5.97219e+24, 6371.01, 0.0, 119.0, 190.0, 3
      Moon, 2452403.212966962, -100810745.73703918, -113020078.32090889, -24588.44828931753, 21.52606813457503, -19.118275081596952, 0.028487177328200098, 7.349e+22, 1738.0, 214.0, 213.0, 192.0, 0
      Mars, 2452403.212966962, -20287579.231511235, 234775237.91971865, 5442847.048002436, -23.204648124879945, -0.013090699622741828, 0.570036335630819, 6.4185e+23, 3389.9, 114.0, 81.0, 48.0, 4
   Jupiter, 2452403.212966962, -282629632.3016803, 726904836.213049, 3309840.5715710176, -12.34210923513944, -4.111125669049776, 0.29323819061048484, 8.9813e+26, 69911.0, 165.0, 145.0, 134.0, 5
